id,code,SMILES,reference,molecular_weight,emission_solid,emission_aggr,features_id,mechanism_id,doi,aTB,difficulty_level,original_level,source_split_file,source_row_index
1735.0,CE-TPA,COc7ccc(N(c1ccccc1)c6ccc(/C=C/c5cc[n+](CC4=C(C(=O)O)N3C(=O)C(NC(=O)Cc2cccs2)C3SC4)cc5)cc6)cc7,"Chem. Commun. 2022, ASAP. ",864.092,,,AIE,TICT,10.1039/D2CC02230C,failed,3,4,4_level.csv,1
1760.0,TPE-BPA,O=C(O[K])C1=NC(C(O[K])=O)=CC(OCCCCOC2=CC=C(/C(C3=CC=C(OCCCCOC4=CC(C(O[K])=O)=NC(C(O[K])=O)=C4)C=C3)=C(C5=CC=C(OCCCCOC6=CC(C(O[K])=O)=NC(C(O[K])=O)=C6)C=C5)/C7=CC=C(OCCCCOC8=CC(C(O[K])=O)=NC(C(O[K])=O)=C8)C=C7)C=C2)=C1,,1650.01,,,AIE,TICT,10.1002/adfm.201803370,failed,3,4,4_level.csv,2
1761.0,PLL,CC(CCCCN)C(NC)=O,,30000.0,,,AIE,clusterluminescence,10.1002/adfm.201803370,failed,3,4,4_level.csv,3
1762.0,TPE-(EO)4-L2,O=C(C1=CC(OCCOCCOCCOCCOC(C=C2)=CC=C2/C(C3=CC=CC=C3)=C(C4=CC=C(OCCOCCOCCOCCOC5=CC(C(O[K])=O)=NC(C(O[K])=O)=C5)C=C4)\C6=CC=CC=C6)=CC(C(O[K])=O)=N1)O[K],,1199.44,,,AIE,TICT,10.1021/acsanm.7b00050,failed,3,4,4_level.csv,4
1765.0,TPE-BPA,O=C(C1=CC(OCCCCOC(C=C2)=CC=C2/C(C3=CC=C(OCCCCOC4=CC(C(O[K])=O)=NC(C(O[K])=O)=C4)C=C3)=C(C5=CC=C(OCCCCOC6=CC(C(O[K])=O)=NC(C(O[K])=O)=C6)C=C5)\C7=CC=C(OCCCCOC8=CC(C(O[K])=O)=NC(C(O[K])=O)=C8)C=C7)=CC(C(O[K])=O)=N1)O[K],,1650.01,,,AIE,TICT,10.1021/acsami.7b06306,failed,3,4,4_level.csv,5
1788.0,TAA-4P,C1(C2=CC=CC=C2)=C(C3=CC=CC=C3)N=C(C=C(N=C(C4=CC=CC=C4)C(C5=CC=CC=C5)=N6)C6=C7)C7=N1,"Chem.Sci.,2018,9,7829-7834",487.0,,,AIE,ESIPT,10.1039/C8SC02810A,failed,3,4,4_level.csv,7
1862.0,HCyNB,C5(CC(OC1=CC4=C(C=C1)C=C(/C=C/C3=[N+](C)C2=CC=CC=C2C3(C)C)C=C4)=O)=CC=CC=C5.[I-],"NewJ.Chem.,2019,43,6429-6434",573.11647,,,AIE,ICT,10.1039/c9nj00890j,failed,3,4,4_level.csv,16
1866.0,TPE-2EP+,C[N+](C=C1)=CC=C1/C=CC(C=C2)=CC=C2/C(C3=CC=C(/C=CC4=CC=[N+](C)C=C4)C=C3)=C(C5=CC=CC=C5)C6=CC=CC=C6.[I-].[I-],"J.Am.Chem.Soc.2019,141,5612−5616",822.57,,,AIE,TICT,10.1021/jacs.9b00636,failed,3,4,4_level.csv,17
1908.0,TPE-DPA-Se,N(C1=CC=C(/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C4=CC=CC=C4)C=C1)(C5=CC=CC=C5)C6=CC=C(C7=CC=C(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=C(/C(C%11=CC=CC=C%11)=C(C%12=CC=CC=C%12)/C%13=CC=CC=C%13)C=C%10)C=C8)C%14=N[Se]N=C%147)C=C6,"ActaChim.Sinica2021,79,319-325",1178.354,,,AIE,TICT,10.6023/A20100501,failed,3,4,4_level.csv,23
1909.0,DCMHNO,N#C/C(C#N)=C1C2=CC=CC=C2OC(/C=C/C3=CC=C(C=C3)OC(C4=C(C=CC=C4)P(C5=CC=CC=C5)C6=CC=CC=C6)=O)=C1,"Sci.Chin.Chem.,2020,63,282-289",600.0,,,AIE,ICT,10.1007/s11426-019-9604-3,failed,3,4,4_level.csv,24
