id,code,SMILES,reference,molecular_weight,emission_solid,emission_aggr,features_id,mechanism_id,doi,aTB,difficulty_level,original_level,source_split_file,source_row_index
1025.0,t-BPITBT-TPA,CC(C)(C)C(C=C1)=CC=C1N2C(C3=CC=C(C4=CC=C(C5=CC=C(/C(C6=CC=CC=C6)=C(C7=CC=CC=C7)/C8=CC=CC=C8)C=C5)C9=NSN=C49)S3)=NC%10=C2C(C=CC=C%11)=C%11C%12=C%10C=CC=C%12,"J. Mater. Chem. C, 2018,6, 5900-5907",897.0,640.0,,AIE,TICT,10.1039/c8tc01612g,success,1,1,1_level.csv,3
1029.0,BTPETTD,C1(/C(C2=CC=C(C3=CC=C(C4=CC=C(/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)\C7=CC=CC=C7)C=C4)C8=NSN=C83)C=C2)=C(C9=CC=CC=C9)\C%10=CC=CC=C%10)=CC=CC=C1,"Chem. Commun., 2011, 47, 8847–8849",797.0,600.0,,AIE,ESIPT,10.1039/c1cc12775f,success,1,1,1_level.csv,7
1030.0,BTPEBTTD,C1(/C(C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=C(C6=CC=C(/C(C7=CC=CC=C7)=C(C8=CC=CC=C8)\C9=CC=CC=C9)C=C6)S5)C%10=NSN=C%104)S3)C=C2)=C(C%11=CC=CC=C%11)\C%12=CC=CC=C%12)=CC=CC=C1,"Chem. Commun., 2011, 47, 8847–8849",961.0,661.0,,AIE,ESIPT,"Chem. Commun., 2011, 47, 8847–8849",success,1,1,1_level.csv,8
1050.0,DPPM-DMAC,O=C(C1=CC2=C(N=C(C(C=C3)=C(C4=C5)C=C3N(C6=CC=CC=C6C7(C)C)C8=C7C=CC=C8)C(C4=CC=C5N9C%10=CC=CC=C%10C(C)(C)C%11=C9C=CC=C%11)=N2)C=C1)C%12=CC=CC=C%12,"Adv. Sci. 2021, 2104435",798.0,587.0,,AIE,ICT,10.1002/advs.202104435,success,1,1,1_level.csv,10
1052.0,DPPM-DPAC,O=C(C1=CC2=C(N=C(C(C=C3)=C(C4=C5)C=C3N(C6=CC=CC=C6C7(C8=CC=CC=C8)C9=CC=CC=C9)C%10=C7C=CC=C%10)C(C4=CC=C5N%11C%12=CC=CC=C%12C(C%13=CC=CC=C%13)(C%14=CC=CC=C%14)C%15=C%11C=CC=C%15)=N2)C=C1)C%16=CC=CC=C%16,"Adv. Sci. 2021, 2104435",1046.0,557.0,,AIE,ICT,10.1002/advs.202104435,success,1,1,1_level.csv,12
1053.0,DPPM-SFAC,O=C(C1=CC2=C(N=C(C(C=C3)=C(C4=C5)C=C3N(C6=CC=CC=C6C7(C8=CC=CC=C89)C%10=C9C=CC=C%10)C%11=C7C=CC=C%11)C(C4=CC=C5N%12C%13=CC=CC=C%13C(C%14=C%15C=CC=C%14)(C%16=CC=CC=C%16%15)C%17=C%12C=CC=C%17)=N2)C=C1)C%18=CC=CC=C%18,"Adv. Sci. 2021, 2104435",1042.0,563.0,,AIE,ICT,10.1002/advs.202104435,success,1,1,1_level.csv,13
1054.0,DPPM-SXAC,O=C(C1=CC2=C(N=C(C(C=C3)=C(C4=C5)C=C3N(C6=CC=CC=C6C7(C8=CC=CC=C8O9)C%10=C9C=CC=C%10)C%11=C7C=CC=C%11)C(C4=CC=C5N%12C%13=CC=CC=C%13C(C%14=C%15C=CC=C%14)(C%16=CC=CC=C%16O%15)C%17=C%12C=CC=C%17)=N2)C=C1)C%18=CC=CC=C%18,"Adv. Sci. 2021, 2104435",1074.0,570.0,,AIE,ICT,10.1002/advs.202104435,success,1,1,1_level.csv,14
1055.0,DPPM-STAC,O=C(C1=CC2=C(N=C(C(C=C3)=C(C4=C5)C=C3N(C6=CC=CC=C6C7(C8=CC=CC=C8S9)C%10=C9C=CC=C%10)C%11=C7C=CC=C%11)C(C4=CC=C5N%12C%13=CC=CC=C%13C(C%14=C%15C=CC=C%14)(C%16=CC=CC=C%16S%15)C%17=C%12C=CC=C%17)=N2)C=C1)C%18=CC=CC=C%18,"Adv. Sci. 2021, 2104435",1106.0,566.0,,AIE,ICT,10.1002/advs.202104435,success,1,1,1_level.csv,15
1063.0,o-TPEPh,c1(/C(c2ccccc2c3ccccc3)=C(c4ccccc4)\c5ccccc5)ccccc1,"Org. Chem. Front. 2016, 3, 1091–1095",408.0,466.0,466.0,AIE,neutral aromatic,10.1039/c6qo00204h,success,1,1,1_level.csv,16
1064.0,o-2-TPENp,c1(/C(c2ccccc2c3cc4ccccc4cc3)=C(c5ccccc5)\c6ccccc6)ccccc1,"Org. Chem. Front. 2016, 3, 1091–1095",458.0,467.0,468.0,AIE,neutral aromatic,10.1039/c6qo00204h,success,1,1,1_level.csv,17
1065.0,o-TPEAn,c1(cc2ccccc2c3c4c(/C(c5ccccc5)=C(c6ccccc6)\c7ccccc7)cccc4)c3cccc1,"Org. Chem. Front. 2016, 3, 1091–1095",508.0,501.0,504.0,AIE,neutral aromatic,10.1039/c6qo00204h,success,1,1,1_level.csv,18
1066.0,o-TPEPa,c1(/C(c2c(c3cc4c(c5c3cccc5)cccc4)cccc2)=C(c6ccccc6)/c7ccccc7)ccccc1,"Org. Chem. Front. 2016, 3, 1091–1095",508.0,472.0,473.0,AIE,neutral aromatic,10.1039/c6qo00204h,success,1,1,1_level.csv,19
1067.0,o-TPEPy,c1(/C(c2c(c3ccc4c5c3ccc6cccc(cc4)c56)cccc2)=C(c7ccccc7)/c8ccccc8)ccccc1,"Org. Chem. Front. 2016, 3, 1091–1095",532.0,484.0,490.0,AIE,neutral aromatic,10.1039/c6qo00204h,success,1,1,1_level.csv,20
1072.0,l-TPEB,CC1=CC(C)=CC(C)=C1B(C2=C(C)C=C(C)C=C2C)C3=CC=C(C=C3)C(C=C4)=CC=C4C(C=C5)=CC=C5/C(C6=CC=CC=C6)=C(C7=CC=C(C8=CC=C(C9=CC=C(B(C%10=C(C)C=C(C)C=C%10C)C%11=C(C)C=C(C)C=C%11C)C=C9)C=C8)C=C7)\C%12=CC=CC=C%12,"J. Mater. Chem. C 2017, 5, 12553–12560",1133.0,495.0,497.0,AIE,neutral aromatic,10.1039/c7tc04626j,success,1,1,1_level.csv,21
1073.0,(TPE)2PF,C12=C(C=C(C3=CC=C(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)/C6=CC=CC=C6)C=C3)C=C2)C(C7=CC=CC=C7)(C8=CC=CC=C8)C9=C1C=CC(C%10=CC=C(/C(C%11=CC=CC=C%11)=C(C%12=CC=CC=C%12)\C%13=CC=CC=C%13)C=C%10)=C9,Dyes Pigments 106 (2014) 87–93,978.0,491.0,498.0,AIE,neutral aromatic,10.1016/j.dyepig.2014.02.026,success,1,1,1_level.csv,22
1074.0,TPE(PF)2,C12=C(C=C(C3=CC=C(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)/C6=CC=C(C(C=C7)=CC8=C7C(C=CC=C9)=C9C8(C%10=CC=CC=C%10)C%11=CC=CC=C%11)C=C6)C=C3)C=C2)C(C%12=CC=CC=C%12)(C%13=CC=CC=C%13)C%14=C1C=CC=C%14,Dyes Pigments 106 (2014) 87–93,964.0,498.0,502.0,AIE,neutral aromatic,10.1016/j.dyepig.2014.02.026,success,1,1,1_level.csv,23
1075.0,(TPE)2SF,C12=C(C=C(C3=CC=C(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)/C6=CC=CC=C6)C=C3)C=C2)C7(C8=C(C=CC=C8)C9=C7C=CC=C9)C%10=C1C=CC(C%11=CC=C(/C(C%12=CC=CC=C%12)=C(C%13=CC=CC=C%13)\C%14=CC=CC=C%14)C=C%11)=C%10,Dyes Pigments 106 (2014) 87–93,976.0,495.0,496.0,AIE,neutral aromatic,10.1016/j.dyepig.2014.02.026,success,1,1,1_level.csv,24
1076.0,TPE(SF)2,C12=C(C=C(C3=CC=C(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)/C6=CC=C(C(C=C7)=CC8=C7C(C=CC=C9)=C9C8%10C%11=C(C=CC=C%11)C%12=C%10C=CC=C%12)C=C6)C=C3)C=C2)C%13(C%14=C(C=CC=C%14)C%15=C%13C=CC=C%15)C%16=C1C=CC=C%16,Dyes Pigments 106 (2014) 87–93,960.0,502.0,503.0,AIE,neutral aromatic,10.1016/j.dyepig.2014.02.026,success,1,1,1_level.csv,25
1080.0,5-BTDMS,C[Si]1(C)C(C2=CC(C=CS3)=C3C=C2)=C(C4=CC=CC=C4)C(C5=CC=CC=C5)=C1C6=CC=C(C=CS7)C7=C6,"Chem. Eur. J. 2015, 21, 8137 – 8147",526.0,494.0,,AIE,ESIPT,10.1002/chem.201500002,success,1,1,1_level.csv,26
1091.0,(Z)-o-BCaPTPE,C1(/C(C2=CC=CC=C2C3=CC=C(N4C(C=CC=C5)=C5C6=C4C=CC=C6)C=C3)=C(C7=C(C8=CC=C(N9C(C=CC=C%10)=C%10C%11=C9C=CC=C%11)C=C8)C=CC=C7)\C%12=CC=CC=C%12)=CC=CC=C1,"Adv.Mater.2011, 23, 5430–5435",814.33,477.0,,AIE,ICT,10.1002/adma.201102804,success,1,1,1_level.csv,28
