id,code,AggIndex,SMILES,color_in_powder,molecular_weight,absorption,emission_sol,emission_solid,emission_aggr,emission_crys,qy_sol,qy_solid,qy_aggr,qy_crys,tau_sol,tau_solid,tau_aggr,tau_crys,features_id,mechanism_id,photostability,solubility_carbohyd,solubility_dmsodmf,solubility_enol,solubility_halogen,solubility_mecnacetone,solubility_thfea,solubility_toluene,solubility_water,molar_aggr,molar_crys,molar_sol,molar_solid,thermostability,application1,application2,application3,application4,pka,comment,tested_solvent
2315,TPE-PN3PB,NULL,CC(C=C(C)C=C1C)=C1B(C(C=C2)=CC=C2C(C=C3)=CC=C3/C(C4=CC=C(C5=CC=C(B(C6=C(C)C=C(C)C=C6C)C7=C(C)C=C(C)C=C7C)C=C5)C=C4)=C(C8=CC=C(C9=CC=C(N(C%10=CC=CC=C%10)C%11=CC=CC=C%11)C=C9)C=C8)C%12=CC=C(C%13=CC=C(N(C%14=CC=CC=C%14)C%15=CC=CC=C%15)C=C%13)C=C%12)C%16=C(C)C=C(C)C=C%16C,yellow,1548.88,348,533,528,NULL,NULL,3.7,92,NULL,NULL,NULL,NULL,NULL,NULL,other,other,1,NULL,1,0,1,1,1,1,0,NULL,NULL,NULL,NULL,1,OLED,NULL,NULL,NULL,NULL,NULL,THF
2316,TPE-2PN2PB,NULL,CC(C=C(C)C=C1C)=C1B(C(C=C2)=CC=C2C(C=C3)=CC=C3/C(C4=CC=C(C5=CC=C(B(C6=C(C)C=C(C)C=C6C)C7=C(C)C=C(C)C=C7C)C=C5)C=C4)=C(C8=CC=C(C9=CC=C(B(C%10=C(C)C=C(C)C=C%10C)C%11=C(C)C=C(C)C=C%11C)C=C9)C=C8)C%12=CC=C(C%13=CC=C(N(C%14=CC=CC=C%14)C%15=CC=CC=C%15)C=C%13)C=C%12)C%16=C(C)C=C(C)C=C%16C.B,yellow,1467.78,350,526,540,NULL,NULL,2.8,95,NULL,NULL,NULL,NULL,NULL,NULL,other,other,1,NULL,1,0,1,1,1,1,0,NULL,NULL,NULL,NULL,1,OLED,NULL,NULL,NULL,NULL,NULL,THF
2317,DPBP-CZ,NULL,CC1=CC(N2C3=CC=CC=C3C4=CC=CC=C42)=CC=C1C5=CC(C6=CN=CC=C6)=CC(C7=CC=CN=C7)=C5,white,473.19,340,382,390,NULL,NULL,6.9,9.9,NULL,NULL,NULL,NULL,NULL,NULL,other,other,1,NULL,1,0,1,1,1,1,0,NULL,NULL,NULL,NULL,1,OLED,NULL,NULL,NULL,NULL,NULL,THF
2318,DPMBP-CZ,NULL,CC1=CC(N2C3=CC=CC=C3C4=CC=CC=C42)=CC=C1C5=CC(C6=CN=CC=C6)=CC(C7=CC=CN=C7)=C5,white,487.2,340,362,367,NULL,NULL,7.8,14,NULL,NULL,NULL,NULL,NULL,NULL,other,other,1,NULL,1,0,1,1,1,1,0,NULL,NULL,NULL,NULL,1,OLED,NULL,NULL,NULL,NULL,NULL,THF
2319,DPBP-DMAC,NULL,CC1=CC(N2C(C=CC=C3)C3C(C)(C)C4C2C=CC=C4)=CC=C1C5=CC(C6=CN=CC=C6)=CC(C7=CC=CN=C7)=C5,NULL,533,254,NULL,534,NULL,NULL,8.3,12.2,NULL,NULL,NULL,NULL,NULL,NULL,other,other,1,NULL,1,0,1,1,1,1,0,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,THF
2320,DPMBP-DMAC,NULL,CC1=CC(N2C(C=CC=C3)C3C(C)(C)C4C2C=CC=C4)=CC=C1C5=CC(C6=CN=CC=C6)=CC(C7=CC=CN=C7)=C5,white,529.25,247,439,413,NULL,NULL,8,14.5,NULL,NULL,NULL,NULL,NULL,NULL,other,other,1,NULL,1,0,1,1,1,1,0,NULL,NULL,NULL,NULL,1,OLED,NULL,NULL,NULL,NULL,NULL,THF
2321,CP-BP-PXZ,NULL,O=C(C1=CC=C([N]2=C(C=CC=C3)C3=OC4=C2C=CC=C4)C=C1)C5=CC6=C(C=C5)N(C7=CC=CC=C7)C8=C6C=CC=C8,light-yellow,528.18,330,582,530,NULL,NULL,2.2,58,NULL,NULL,NULL,NULL,NULL,NULL,other,other,1,NULL,1,0,1,1,1,1,0,NULL,NULL,NULL,NULL,1,OLED,NULL,NULL,NULL,NULL,NULL,THF
2322,CP-BP-PTZ,NULL,O=C(C1=CC=C([N]2=C(C=CC=C3)C3SC4=C2C=CC=C4)C=C1)C5=CC6=C(C=C5)N(C7=CC=CC=C7)C8=C6C=CC=C8,yellow,544.16,335,567,538,NULL,NULL,1.2,45.3,NULL,NULL,NULL,NULL,NULL,NULL,other,other,1,NULL,1,0,1,1,1,1,0,NULL,NULL,NULL,NULL,1,OLED,NULL,NULL,NULL,NULL,NULL,THF
2323,CP-BP-DMAC,NULL,O=C(C1=CC=C([N]2=C(C=CC=C3)C3C(C)(C)C4=C2C=CC=C4)C=C1)C5=CC6=C(C=C5)N(C7=CC=CC=C7)C8=C6C=CC=C8,greenish-yellow,554.24,330,518,490,NULL,NULL,18.2,67.4,NULL,NULL,NULL,NULL,NULL,NULL,other,other,1,NULL,1,0,1,1,1,1,0,NULL,NULL,NULL,NULL,1,OLED,NULL,NULL,NULL,NULL,NULL,THF
2324,(DPA)2(MesB)2MPPS,NULL,C[Si]1(C2=CC=CC=C2)C(C3=CC=C(B(C4=C(C)C=C(C)C=C4)C5=CC=C(C)C=C5C)C=C3)=C(C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6)C(C9=CC=C(N(C%10=CC=CC=C%10)C%11=CC=CC=C%11)C=C9)=C1C%12=CC=C(B(C%13=C(C)C=C(C)C=C%13C)C%14=C(C)C=C(C)C=C%14C)C=C%12,yellow,1307.69,306,565,552,NULL,NULL,4.6,27.2,NULL,NULL,NULL,NULL,NULL,NULL,other,other,1,NULL,1,0,1,1,1,1,0,NULL,NULL,NULL,NULL,1,OLED,NULL,NULL,NULL,NULL,NULL,THF
2325,(DPA)2(CN)2MPPS,NULL,C[Si]1(C2=CC=CC=C2)C(C3=CC=C(C#N)C=C3)=C(C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)C(C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)=C1C%10=CC=C(C#N)C=C%10,yellow,860.34,303,565,558,NULL,NULL,6.5,22.5,NULL,NULL,NULL,NULL,NULL,NULL,other,other,1,NULL,1,0,1,1,1,1,0,NULL,NULL,NULL,NULL,1,OLED,NULL,NULL,NULL,NULL,NULL,THF
