id,code,AggIndex,SMILES,color_in_powder,molecular_weight,absorption,emission_sol,emission_solid,emission_aggr,emission_crys,qy_sol,qy_solid,qy_aggr,qy_crys,tau_sol,tau_solid,tau_aggr,tau_crys,features_id,mechanism_id,photostability,solubility_carbohyd,solubility_dmsodmf,solubility_enol,solubility_halogen,solubility_mecnacetone,solubility_thfea,solubility_toluene,solubility_water,molar_aggr,molar_crys,molar_sol,molar_solid,thermostability,application1,application2,application3,application4,pka,comment,tested_solvent
1,TPE-IQ-2O,1,CCC[n+]6cc4ccc(/C(=C(c1ccc(OC)cc1)\c2ccc(OC)cc2)c3ccccc3)cc4c(c5ccccc5)c6c7ccccc7,yellow,725.31,430,530,620,NULL,NULL,0.006,0.131,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,1,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,cell staining,anticancer,NULL,NULL,NULL,NULL,NULL
2,DBA-AM,2,CCCCN(CCCC)c1ccc(/C=N/C(C#N)=C(N)/C#N)cc1,orange,323.43,430,480,621,NULL,552,0.008,0.09,NULL,0.045,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,1,NULL,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,DMA-AM,3,CN(C)c1ccc(/C=N/C(C#N)=C(N)/C#N)cc1,yellow,239.28,414,475,576,515,NULL,0.003,0.14,NULL,0.066,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,1,NULL,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,DEAH-AM,4,CCN(CC)c1ccc(/C=N/C(C#N)=C(N)/C#N)c(O)c1,red,283.33,440,476,651,504,560,0.008,0.147,NULL,0.004,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,1,NULL,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,TTE,5,c4csc(/C(=C(c1cccs1)/c2cccs2)c3cccs3)c4,yellow,356.5,368,NULL,413,410,444,NULL,0.026,NULL,NULL,NULL,NULL,0.47,NULL,AIE,neutral aromatic,1,NULL,1,NULL,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,TFE,6,c4coc(/C(=C(c1ccco1)/c2ccco2)c3ccco3)c4,yellow,292,387,NULL,499,489,532,NULL,0.11,NULL,NULL,NULL,NULL,1.58,NULL,AIE,neutral aromatic,1,NULL,1,NULL,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,SL-TTE,7,c5csc(c3c(c1cccs1)c2sccc2c4ccsc34)c5,white,354.5,323,489,NULL,380,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,0,1,NULL,NULL,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,FL-TTE,8,c6cc5c1ccsc1c4c2sccc2c3ccsc3c4c5s6,white,352.5,299,381,450,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACQ,neutral aromatic,1,0,0,0,0,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,FL-TFE,9,c6cc5c1ccoc1c4c2occc2c3ccoc3c4c5o6,white,288,274,361,450,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACQ,neutral aromatic,1,0,0,0,0,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,DTE,10,C(=C\c1cccs1)/c2cccs2,white,NULL,322,402,442,402,438,0.15,NULL,NULL,NULL,0.85,NULL,NULL,NULL,ACQ,neutral aromatic,0,NULL,1,0,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,DFE,11,C(=C\c1ccco1)/c2ccco2,white,NULL,315,365,401,365,399,0.32,NULL,NULL,NULL,1.28,NULL,NULL,NULL,ACQ,neutral aromatic,0,NULL,1,0,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,HCA,12,CN(C)c2ccc(/C=C/C(=O)c1ccccc1O)cc2,red,267.13,430,680,680,640,640,NULL,0.185,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ESIPT+ICT/TICT,1,0,1,0,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,DPI-B,13,Cn4c(/C=C(c1ccccc1)/c2ccccc2)nc(c3ccccc3)c4c5ccccc5,NULL,412.19,350,470,475,NULL,NULL,NULL,0.253,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,DPI-A,14,Cn3c(/C=C(C#N)/c1ccccc1)nc(c2ccccc2)c3c4ccccc4,NULL,361.16,390,474,500,NULL,NULL,NULL,0.152,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,DPI-BP,15,Cn4c(/C=C(c1ccccc1)/c2cc[n+](C)cc2)nc(c3ccccc3)c4c5ccccc5,NULL,429.22,435,595,616,NULL,NULL,NULL,0.142,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,DPI-In,16,Cn4c(/C=C/C2=[N+](C)c1ccccc1C2(C)C)nc(c3ccccc3)c4c5ccccc5,NULL,418.23,492,614,642,NULL,NULL,NULL,0.049,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,TPE-IPB,17,CC7(C)OB(c6ccc(COc1ccccc1/C=N/c5ccc(/C(=C(c2ccccc2)/c3ccccc3)c4ccccc4)cc5)cc6)OC7(C)C,yellow,451.2,360,NULL,538,538,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,TPE-Tetrazole-1,18,c5ccc(/C(=C(c1ccccc1)\c3ccc(c2nnn[nH]2)cc3)c4ccccc4)cc5,white,400.18,350,NULL,NULL,480,NULL,NULL,0.39,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,TPE-Tetrazole-2,19,c6ccc(/C(=C(c2ccc(c1nnn[nH]1)cc2)/c4ccc(c3nnn[nH]3)cc4)c5ccccc5)cc6,white,468.18,370,NULL,475,NULL,NULL,NULL,0.38,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,TPE-Tetrazole-4,20,c2cc(c1nnn[nH]1)ccc2/C(=C(c4ccc(c3nnn[nH]3)cc4)/c6ccc(c5nnn[nH]5)cc6)c8ccc(c7nnn[nH]7)cc8,white,604.26,370,NULL,484,NULL,NULL,NULL,0.78,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,ESIPT-N3,21,N#N=NCCOc4ccc(/C=N/N=c2c1ccccc1c3ccccc23)c(O)c4,yellow,383.41,450,NULL,550,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ESIPT,1,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,CM-b,22,c8ccc(/C(=C(c1ccccc1)/c6ccc(c4nc(c2ccccc2)c(c3ccccc3)nc4c5ccccc5)cc6)c7ccccc7)cc8,white,638.8,350,481,481,NULL,NULL,NULL,0.542,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,1,NULL,1,NULL,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,CM-d,23,c8ccc(/C(=C(c1ccccc1)/c6cccc(c4nc(c2ccccc2)c(c3ccccc3)nc4c5ccccc5)c6)c7ccccc7)cc8,white,638.8,336,477,477,NULL,NULL,NULL,0.342,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,1,NULL,1,NULL,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,CM-e,24,c8ccc(/C(=C(c1ccccc1)/c2ccccc2c5nc(c3ccccc3)c(c4ccccc4)nc5c6ccccc6)c7ccccc7)cc8,white,638.8,342,475,475,NULL,NULL,NULL,0.05,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,1,NULL,1,NULL,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,CM-c,25,N#C/C(C#N)=C\c6ccc(c5ccc(c3nc(c1ccccc1)c(c2ccccc2)nc3c4ccccc4)cc5)cc6,green,536.6,372,533,510,NULL,NULL,NULL,0.3,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,1,NULL,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,CM-f,26,N#C/C(C#N)=C\c6ccc(c5ccc(c3nc(c1ccccc1)c(c2ccccc2)nc3c4ccccc4)cc5)s6,yellow,542.7,419,550,550,NULL,NULL,NULL,0.034,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,1,NULL,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,CM-i,27,N#Cc9nc(c4ccc(c3ccc(N(c1ccccc1)c2ccccc2)cc3)cc4)c(c8ccc(c7ccc(N(c5ccccc5)c6ccccc6)cc7)cc8)nc9C#N,red,768.9,408,660,630,NULL,NULL,NULL,0.176,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,1,NULL,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,TriPCE,28,COc3ccc(/C(=C(C#N)\c1ccccc1)c2ccccc2)cc3,green,311.38,320,NULL,490,490,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,1,NULL,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,Ryan1,29,C[N+](C)(C)CCCCCCC8(CCCCCC[N+](C)(C)C)c1ccccc1c7cc(/C(=C(c2ccccc2)/c3ccc5c(c3)c4ccccc4C5(CCCCCC[N+](C)(C)C)CCCCC[N+](C)(C)C)c6ccccc6)ccc78,green,1397.34,350,NULL,NULL,520,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,1,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,Ryan2,30,O=P([O-])([O-])Oc4ccc(/C(=C(c1ccccc1)/c2ccc(OP(=O)([O-])[O-])cc2)c3ccccc3)cc4,blue,524.1,312,NULL,NULL,480,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,TPE-C,31,O=N(=O)c1ccccc1COc6ccc(c5ccc(/C(=C(c2ccccc2)/c3ccccc3)c4ccccc4)cc5)cc6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,ASCP,32,CN(C)c3ccc(/C=C(C#N)/c2ccc(c1cc[n+](C)cc1)cc2)cc3,red,340.18,450,NULL,NULL,650,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,ASCP-2P,33,C[n+]5ccc(c4ccc(/C(C#N)=C/c3ccc(N(c1ccccc1)c2ccccc2)cc3)cc4)cc5,red,464.2133,460,660,NULL,620,NULL,0.015,NULL,0.057,NULL,NULL,NULL,NULL,NULL,AIE,ICT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,ASCP-TPA,34,C[n+]6ccc(c5ccc(/C(C#N)=C/c4ccc(c3ccc(N(c1ccccc1)c2ccccc2)cc3)cc4)cc5)cc6,NULL,540.2458,440,NULL,NULL,620,NULL,0.007,NULL,0.95,NULL,NULL,NULL,NULL,NULL,AIE,ICT,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,2ASCP-TPA,35,C[n+]6ccc(c5ccc(/C(C#N)=C(C#N)/c4ccc(c3ccc(N(c1ccccc1)c2ccccc2)cc3)cc4)cc5)cc6,red,565.2332,460,NULL,NULL,720,NULL,0.005,NULL,0.056,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,ASCP-PZ,36,C[n+]4ccc(c3ccc(/C(C#N)=C(C#N)/c2ccc(N1CC[N+](C)(C)CC1)cc2)cc3)cc4,orange,1130,395,635,NULL,610,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,TICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,TTB,37,C1(C2=CC=C(N(C3=CC=CC=C3)C4=CC=C(/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)/C7=CC=CC=C7)C=C4)C=C2)=CC=C(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=C(/C(C%11=CC=CC=C%11)=C(C%12=CC=CC=C%12)/C%13=CC=CC=C%13)C=C%10)C=C8)C%14=NSN=C1%14,red,1230,471,616,617,609,NULL,NULL,0.488,NULL,NULL,NULL,4.93,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,TNB,38,C1(C2=CC=C(N(C3=CC=CC4=C3C=CC=C4)C5=CC=C(/C(C6=CC=CC=C6)=C(C7=CC=CC=C7)/C8=CC=CC=C8)C=C5)C=C2)=CC=C(C9=CC=C(N(C%10=CC=CC%11=C%10C=CC=C%11)C%12=CC=C(/C(C%13=CC=CC=C%13)=C(C%14=CC=CC=C%14)/C%15=CC=CC=C%15)C=C%12)C=C9)C%16=NSN=C1%16,red,918,470,613,617,604,NULL,NULL,0.63,NULL,NULL,NULL,3.19,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,TPE-NPB,39,C1(/C(C2=CC=C(C3=CC=C(N(C4=C(C=CC=C5)C5=CC=C4)C6=CC=CC=C6)C=C3)C=C2)=C(C7=CC=CC=C7)\C8=CC=C(C9=CC=C(N(C%10=CC=CC%11=C%10C=CC=C%11)C%12=CC=CC=C%12)C=C9)C=C8)=CC=CC=C1,yellow,1343,340,511,506,505,NULL,NULL,0.98,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,TPE-TPA-DCM (TTD),40,N#C/C(C#N)=C1C=C(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=C(C5=CC=C(/C(C6=CC=CC=C6)=C(C7=CC=CC=C7)/C8=CC=CC=C8)C=C5)C=C4)C=C2)OC(/C=C/C9=CC=C(N(C%10=CC=CC=C%10)C%11=CC=C(C%12=CC=C(/C(C%13=CC=CC=C%13)=C(C%14=CC=CC=C%14)/C%15=CC=CC=C%15)C=C%12)C=C%11)C=C9)=C/1,red,1072,490,633,NULL,660,NULL,NULL,0.12,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,TPE-TPA-FN(TTF),41,N#C/C(c1ccc(N(c2ccccc2)c3ccc(/C(c4ccccc4)=C(c5ccccc5)/c6ccccc6)cc3)cc1)=C(c7ccc(N(c8ccccc8)c9ccc(/C(c%10ccccc%10)=C(c%11ccccc%11)/c%12ccccc%12)cc9)cc7)/C#N,red,1234,497,660,663,671,NULL,NULL,0.525,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,DPBA-TPE,42,COc1c(/C=C(c2ccc(N(c3ccc(/C(c4ccccc4)=C(c5ccccc5)/c6ccccc6)cc3)c7ccccc7)cc2)\C#N)cc(OC)c(/C=C(C#N)/c8ccc(N(c9ccc(/C(c%10ccccc%10)=C(c%11ccccc%11)/c%12ccccc%12)cc9)c%13ccccc%13)cc8)c1,red,1465,480,619,NULL,624,NULL,NULL,0.14,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,TTS,43,c1(c2ccc(N(c3ccc(N(c4ccccc4)c5ccccc5)cc3)c6ccc(/C(c7ccccc7)=C(c8ccccc8)/c9ccccc9)cc6)cc2)c%10nsnc%10c(c%11ccc(N(c%12ccc(N(c%13ccccc%13)c%14ccccc%14)cc%12)c%15ccc(/C(c%16ccccc%16)=C(c%17ccccc%17)/c%18ccccc%18)cc%15)cc%11)cc1,red,1513,481,641,636,636,NULL,NULL,0.303,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,TTSe,44,c1(c2ccc(N(c3ccc(N(c4ccccc4)c5ccccc5)cc3)c6ccc(/C(c7ccccc7)=C(c8ccccc8)/c9ccccc9)cc6)cc2)c%10n[se]nc%10c(c%11ccc(N(c%12ccc(N(c%13ccccc%13)c%14ccccc%14)cc%12)c%15ccc(/C(c%16ccccc%16)=C(c%17ccccc%17)/c%18ccccc%18)cc%15)cc%11)cc1,red,502,500,662,665,665,NULL,NULL,0.08,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,TM-s-TPE,45,Cc1c(C)cc(C(c2cc(C)c(C)cc2C)C(c3c(C)cc(C)c(C)c3)C4cc(C)C(C)cc4C)c(C)c1,white,252,281,301,397,385,NULL,NULL,0.085,NULL,NULL,NULL,NULL,NULL,NULL,AIE,clusterluminescence,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,DPM-TM,46,Cc1cc(C)c(C)cc1Cc2cc(C)c(C)cc2C,white,266,278,297,401,400,NULL,NULL,0.015,NULL,NULL,NULL,NULL,NULL,NULL,AIE,clusterluminescence,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,s-DPE-TM,47,Cc1cc(C)c(C)cc1CCc2cc(C)c(C)cc2C,white,264,280,297,390,390,NULL,NULL,0.94,NULL,NULL,NULL,NULL,NULL,NULL,AIE,clusterluminescence,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,DPE-TM,48,Cc1cc(C)c(C)cc1/C=C/c2cc(C)c(C)cc2C,white,313,319,381,397,396,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,AIE,clusterluminescence,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,TPh-TM,49,Cc1cc(C)c(C)cc1c2ccc(c3cc(C)c(C)cc3C)cc2,white,314,259,340,337,345,NULL,NULL,0.48,NULL,NULL,NULL,NULL,NULL,NULL,AIE,clusterluminescence,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,TPh-ME,50,Cc1cc(C)cc(C)c1c2ccc(c3c(C)cc(C)cc3C)cc2,white,472,241,330,NULL,336,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,clusterluminescence,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,TPh-TM-DBr,51,Brc1cc(c2cc(C)c(C)cc2C)c(Br)cc1c3cc(C)c(C)cc3C,white,418.2,278,337,NULL,401,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,clusterluminescence,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,TPE-TMX,52,CN(C)CCOc1ccc(/C(c2ccccc2)=C(c3ccccc3)/c4ccccc4)cc1,white,423.2243,NULL,480,480,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,TPE-PY-N3,53,[N-]=[N+]=NCCCC[n+]1ccc(/C=C/c2ccc(/C(c3ccccc3)=C(c4ccccc4)\c5ccccc5)cc2)cc1,NULL,NULL,NULL,NULL,618,NULL,NULL,NULL,0.1772,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,,54,C/C(c1ccc(/C(c2ccccc2)=C(c3ccc(N(C)C)cc3)\c4ccc(N(C)C)cc4)cc1)=C(C#N)/C#N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,TICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,,55,COc1ccc(/C(c2ccc(OC)cc2)=C(c3ccc(/C(c4ccccc4)=C(c5cc[n+](C)cc5)\c6cc[n+](C)cc6)cc3)\c7ccccc7)cc1,red,968.8,450,NULL,650,650,NULL,NULL,0.02,NULL,NULL,NULL,NULL,NULL,NULL,AIE,TICT,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,,56,C[n+]1ccc(/C(c2ccc(OC)cc2)=C(c3ccc(OC)cc3)\c4ccc(OC)cc4)cc1.F[P-](F)(F)(F)(F)F,yellow,583.5,390,NULL,590,590,NULL,NULL,0.04,NULL,NULL,NULL,NULL,NULL,NULL,AIE,TICT,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,,57,Cc1ccc(/C(c2ccccc2)=C(c3ccc(Oc4cc(C5=O)c6c(C(N5CCCNC(Nc(n7)[nH]c(C(CC)CCCC)cc7=O)=O)=O)ccc8c6c4c9ccc(C%10=O)c%11c9c8c(Oc%12ccc(/C(c%13ccccc%13)=C(c%14ccccc%14)/c%15ccc(C)cc%15)cc%12)cc%11C(N%10CCCNC(Nc(n%16)[nH]c(C(CC)CCCC)cc%16=O)=O)=O)cc3)\c%17ccccc%17)cc1,red,1696,520,NULL,NULL,650,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,,58,O=C(NC1=NC(C=C(C(CC)CCCC)N1)=O)Nc2ccc(/C(c3ccccc3)=C(c4ccccc4)/c5ccc(NC(NC6=NC(C=C(C(CC)CCCC)N6)=O)=O)cc5)cc2,blue,832,320,490,475,475,NULL,NULL,0.27,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,,59,O=C(NC1=NC(C=C(C(CC)CCCC)N1)=O)Nc2ccc(/C(c3ccccc3)=C(c4ccc(NC(NC5=NC(C=C(C(CC)CCCC)N5)=O)=O)cc4)/c6ccccc6)cc2,green,832,320,490,495,495,NULL,NULL,0.29,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
