id,code,SMILES,reference,molecular_weight,emission_solid,emission_aggr,features_id,mechanism_id,doi,aTB
2051.0,CSPP-NHS,[I-].[I-].C[N+]1(C)CCN(CC1)C1=CC=C(C=C(/C#N)C2=CC=C(C=C2)C2=CC=[N+](CCCC(=O)ON3C(=O)CCC3=O)C=C2)C=C1,"Chem.Sci.,2017,8,7014",833.51,,,AIE,TICT,10.1039/c7sc01054k,failed
2052.0,TTPY-Py,N(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=C(C4=CC=C(/C=C/C5=CC=[N+](CCCC[N+]6=CC=CC=C6)C=C5)S4)C=C3.[Br-].[Br-],"Adv.Funct.Mater.2021,2009924",282.627,,,AIE,other,10.1002/adfm.202009924,failed
2060.0,BTPPA,C[N+](C=C1)=CC=C1/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C(C=C4)=CC=C4N(C5=CC=CC=C5)C6=CC=C(C7=C8C(N=S=N8)=C(C(C=C9)=CC=C9N(C%10=CC=C(/C(C%11=CC=CC=C%11)=C(C%12=CC=CC=C%12)/C%13=CC=[N+](C)C=C%13)C=C%10)C%14=CC=CC=C%14)C%15=NN(CC(CC)CC)N=C7%15)C=C6.FP(F)(F)(F)F.F[P-](F)(F)(F)(F)F.[F-],"Adv.Mater.2021,33,2105999",776.3536,,,AIE,other,10.1002/adma.202105999,failed
2061.0,MeTTPy,CC(C=C1)=CC=C1N(C2=CC=C(C3=CC=C(/C=C/C4=CC=[N+](C)C=C4)S3)C=C2)C5=CC=C(C)C=C5.FP(F)(F)(F)F.[F-],"Adv.Mater.2018,30,1802105",473.205,,,AIE,other,10.1002/adma.201802105,failed
2083.0,BSPOTPE,O=S(CCCOC1=CC=C(C(C2=CC=CC=C2)=C(C3=CC=C(OCCCS(=O)([O-])=O)C=C3)C4=CC=CC=C4)C=C1)([O-])=O.[Na+].[Na+],"MobiQuitous2017:Proceedingsofthe14thEAIInternationalConferenceonMobileandUbiquitousSystems:Computing,NetworkingandServicesNovember2017,523",653.0,,,AIE,ESIPT,10.1145/3144457.3144508,failed
2108.0,ECPI-12,C1=CC=CC4=C1C2C(C=CC(=C2)C=CC3=CC=[N+](C=C3)CCCCCCCCCCCC)N4CCOCC,"Chem.Sci.,2019,10,1994",638.68,,,AIE,ICT,10.1039/c8sc05119d,failed
2114.0,TPCI,[CH2-][N+](C=C1)=CC=C1C(C=C2)=CC=C2N(C3=CC=C(C4=CC=[N+](C)C=C4)C=C3)C(C=C5)=CC=C5/C=C(C#N)/C6=CC=C(/C(C#N)=C/C7=CC=C(N(C8=CC=C(C9=CC=[N+](C)C=C9)C=C8)C%10=CC=C(C%11=CC=[N+]([CH2-])C=C%11)C=C%10)C=C7)C=C6.[I].[I-].[I].[I-],"Adv.Funct.Mater.2019,29,1902673",1550.0,,,AIE,TICT,10.1002/adfm.201902673,failed
2202.0,f-TPE-PyH,C(/C1=CC=CC=C1)(c2ccccc2c3cc[nH+]cc3)=C(C4=CC=CC=C4)c5c(c6cc[nH+]cc6)cccc5.[Cl-].[Cl-],"J.Phys.Chem.Lett.2019,10,2648-2656",559.0,,,AIE,ICT,10.1021/acs.jpclett.9b01040,failed
2204.0,f-TPE-PPyH,C(/C1=CC=CC=C1)(c2ccccc2c3ccc(c4cc[nH+]cc4)cc3)=C(C5=CC=CC=C5)c6c(c7ccc(c8cc[nH+]cc8)cc7)cccc6.[Cl-].[Cl-],"J.Phys.Chem.Lett.2019,10,2648-2656",711.0,,,AIE,ICT,10.1021/acs.jpclett.9b01040,failed
2205.0,l-TPE-PyH,C(/c1ccc(c2cc[nH+]cc2)cc1)(C3=CC=CC=C3)=C(C4=CC=CC=C4)c5ccc(c6cc[nH+]cc6)cc5.[Cl-].[Cl-],"J.Phys.Chem.Lett.2019,10,2648-2656",559.0,,,AIE,ICT,10.1021/acs.jpclett.9b01040,failed
2285.0,DTPA4TPAN,N#C/C(C(C=C1)=CC=C1C(C=C2)=CC=C2N(C3=CC=C(C(C=C4)=CC=C4N(C5=CC=C(C6=CC=C(/C(C#N)=C(C7=CC=CC=C7)/C8=CC=CC=C8)C=C6)C=C5)C9=CC=C(C%10=CC=C(/C(C#N)=C(C%11=CC=CC=C%11)/C%12=CC=CC=C%12)C=C%10)C=C9)C=C3)C%13=CC=C(C%14=CC=C(/C(C#N)=C(C%15=CC=CC=C%15)/C%16=CC=CC=C%16)C=C%14)C=C%13)=C(C%17=CC=CC=C%17)C%18=CC=CC=C%18,"Chem.Mater.,2012,24,1518-1528",1605.65,,,AIE,ICT,10.1021/cm300416y,failed
87.0,AIE-SRS-Mito,CC[n+]1ccc(c2ccc(/C(C#N)=C/c3ccc(C#Cc4ccccc4)cc3)cc2)cc1.F[P-](F)(F)(F)(F)F,,556.4922,,,AIE,ICT,,failed
156.0,Bnpy-TPA,N#C/C(c1ccc(c2cc[n+](Cc3ccccc3)cc2)cc1)=C\c4ccc(N(c5ccccc5)c6ccccc6)cc4.[Br],,619.16,,,AIE,ICT,,failed
209.0,BTPE-BBT,CCCCOc1ccc(cc1)C(=C(c1ccccc1)c1ccc(cc1)-c1c2N=S=Nc2c(c2N=S=Nc12)-c1ccc(cc1)C(=C(c1ccc(OCCCC)cc1)c1ccc(OCCCC)cc1)c1ccccc1)c1ccc(OCCCC)cc1,,1143.5,,,AIE,ICT,,failed
228.0,IVP-42,CC[n+]1ccc(/C=C/c2c3ccccc3n(CCCC)c2)cc1,"Chem. Sci., 2020, 11, 7676-7684",450.409,,,AIE,ICT,,failed
230.0,IVP-06,CCCCCC[n+]1ccc(/C=C/c2c3ccccc3[nH]c2)cc1,"Chem. Sci., 2020, 11, 7676-7684",450.409,,,AIE,ICT,,failed
231.0,IVP-62,CC[n+]1ccc(/C=C/c2c3ccccc3n(CCCCCC)c2)cc1,"Adv. Mater., 2018, 30, 1706856. ACS Nano, 2018, 12, 7936-7945",478.463,,,AIE,ICT,,failed
300.0,2TPE-2NDTA,O=C(c1c(S/C(S2)=C(c3ccc(/C(c4ccccc4)=C(c5ccccc5)/c6ccccc6)cc3)/C#N)c2c(C(N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C7=O)=O)c8c7c(S/C(S9)=C(\C(C#N)=C%10Sc%11c%12c%13c(C(N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C%12=O)=O)c%14c(S/C(S%14)=C(c%15ccc(/C(c%16ccccc%16)=C(c%17ccccc%17)\c%18ccccc%18)cc%15)/C#N)c%19c%13c(C(N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C%19=O)=O)c%11S/%10)C#N)c9c%20c81)N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C%20=O,"Nat. Commun., 2019, 10, 768",,,,AIE,ICT,,failed
325.0,CoTAPc,Nc1cc2c(N=C(c3ccc(N)cc34)N5C4=Nc6c7ccc(N)cc7c8n6[Co]95N%10C(c%11cc(N)ccc%11C%10=N8)=N%12)n9c%12c2cc1,"Energy Environ. Sci., 2021,14, 483-492",,,,AIE,ICT,,failed
326.0,CoTMAPc,C[N+](C)(C)c1cc2c(N=C(c3ccc([N+](C)(C)C)cc34)N5C4=Nc6c7ccc([N+](C)(C)C)cc7c8n6[Co]95N%10C(c%11cc([N+](C)(C)C)ccc%11C%10=N8)=N%12)n9c%12c2cc1,"Energy Environ. Sci., 2021,14, 483-492",,,,AIE,ICT,,failed
327.0,C6-BD,Oc1c(/C=N/N=C/c2ccc(OCCCCCC[n+]3ccccc3)cc2)ccc4ccccc41,"Mater. Chem. Front., 2021,5, 2724-2729",,,,AIE,ESIPT,,failed
329.0,TPE-DMAB,C[N+](C)(Cc1ccc(B(O)O)cc1)c2ccc(C(c3ccccc3)C(c4ccccc4)c5ccc([N+](C)(Cc6ccc(B(O)O)cc6)C)cc5)cc2,"Mater. Chem. Front., 2021,5, 1830-1835",,,,AIE,ICT,,failed
