id,code,SMILES,reference,molecular_weight,emission_solid,emission_aggr,features_id,mechanism_id,doi,aTB
1022.0,TPEAn,C1(/C(C2=CC=CC=C2)=C(C3=CC=C(C4=C(C=CC=C5)C5=CC6=C4C=CC=C6)C=C3)\C7=CC=CC=C7)=CC=CC=C1,"Chem. Sci., 2011, 2, 672",508.0,450.0,,AIE,other,10.1039/c0sc00521e,success
1023.0,TPEPa,C1(/C(C2=CC=CC=C2)=C(C3=CC=C(C4=CC(C=CC=C5)=C5C6=C4C=CC=C6)C=C3)\C7=CC=CC=C7)=CC=CC=C1,"Chem. Sci., 2011, 2, 672",508.0,481.0,,AIE,other,10.1039/c0sc00521e,success
1024.0,TPENp,C1(/C(C2=CC=CC=C2)=C(C3=CC=C(C4=CC=CC5=C4C=CC=C5)C=C3)\C6=CC=CC=C6)=CC=CC=C1,"Chem. Sci., 2011, 2, 672",458.0,469.0,,AIE,ESIPT,10.1039/c0sc00521e,success
1025.0,t-BPITBT-TPA,CC(C)(C)C(C=C1)=CC=C1N2C(C3=CC=C(C4=CC=C(C5=CC=C(/C(C6=CC=CC=C6)=C(C7=CC=CC=C7)/C8=CC=CC=C8)C=C5)C9=NSN=C49)S3)=NC%10=C2C(C=CC=C%11)=C%11C%12=C%10C=CC=C%12,"J. Mater. Chem. C, 2018,6, 5900-5907",897.0,640.0,,AIE,TICT,10.1039/c8tc01612g,success
1026.0,TPECa,C1(/C(C2=CC=CC=C2)=C(C3=CC=C(C4=NC=CC5=C4C=CC=C5)C=C3)\C6=CC=CC=C6)=CC=CC=C1,"Chem. Sci., 2011, 2, 672",459.0,468.0,,AIE,other,10.1039/c0sc00521e,success
1027.0,TPEIq,C1(/C(C2=CC=CC=C2)=C(C3=CC=C(N4C5=C(C=CC=C5)C6=C4C=CC=C6)C=C3)\C7=CC=CC=C7)=CC=CC=C1,"Chem. Sci., 2011, 2, 672",497.0,471.0,,AIE,other,10.1039/c0sc00521e,success
1028.0,BTPETD,C1(/C(C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=C(/C(C6=CC=CC=C6)=C(C7=CC=CC=C7)\C8=CC=CC=C8)C=C5)C9=NSN=C94)S3)C=C2)=C(C%10=CC=CC=C%10)\C%11=CC=CC=C%11)=CC=CC=C1,"Chem. Commun., 2011, 47, 8847–8849",879.0,539.0,,AIE,other,10.1039/c1cc12775f,success
1029.0,BTPETTD,C1(/C(C2=CC=C(C3=CC=C(C4=CC=C(/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)\C7=CC=CC=C7)C=C4)C8=NSN=C83)C=C2)=C(C9=CC=CC=C9)\C%10=CC=CC=C%10)=CC=CC=C1,"Chem. Commun., 2011, 47, 8847–8849",797.0,600.0,,AIE,ESIPT,10.1039/c1cc12775f,success
1030.0,BTPEBTTD,C1(/C(C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=C(C6=CC=C(/C(C7=CC=CC=C7)=C(C8=CC=CC=C8)\C9=CC=CC=C9)C=C6)S5)C%10=NSN=C%104)S3)C=C2)=C(C%11=CC=CC=C%11)\C%12=CC=CC=C%12)=CC=CC=C1,"Chem. Commun., 2011, 47, 8847–8849",961.0,661.0,,AIE,ESIPT,"Chem. Commun., 2011, 47, 8847–8849",success
1049.0,TPE-4SF,C(/C1=CC=C(C2=CC=C(C(C=CC=C3)=C3C45C6=CC=CC=C6C7=C5C=CC=C7)C4=C2)C=C1)(C8=CC=C(C9=CC=C(C(C=CC=C%10)=C%10C%11%12C%13=CC=CC=C%13C%14=C%12C=CC=C%14)C%11=C9)C=C8)=C(C%15=CC=C(C%16=CC=C(C(C=CC=C%17)=C%17C%18%19C%20=CC=CC=C%20C%21=C%19C=CC=C%21)C%18=C%16)C=C%15)/C%22=CC=C(C%23=CC=C(C(C=CC=C%24)=C%24C%25%26C%27=CC=CC=C%27C%28=C%26C=CC=C%28)C%25=C%23)C=C%22,"Chem. Commun., 2013, 49, 594--596",1590.0,521.0,,AIE,other,10.1039/c2cc37928g,success
1050.0,DPPM-DMAC,O=C(C1=CC2=C(N=C(C(C=C3)=C(C4=C5)C=C3N(C6=CC=CC=C6C7(C)C)C8=C7C=CC=C8)C(C4=CC=C5N9C%10=CC=CC=C%10C(C)(C)C%11=C9C=CC=C%11)=N2)C=C1)C%12=CC=CC=C%12,"Adv. Sci. 2021, 2104435",798.0,587.0,,AIE,ICT,10.1002/advs.202104435,success
