id,code,SMILES,reference,molecular_weight,emission_solid,emission_aggr,features_id,mechanism_id,doi,aTB
1032.0,BTPE,C1(/C(C2=CC=C(C3=CC=C(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)\C6=CC=CC=C6)C=C3)C=C2)=C(C7=CC=CC=C7)\C8=CC=CC=C8)=CC=CC=C1,"Chem. Commun., 2010, 46, 686–688",662.0,,,AIE,ESIPT,10.1039/b915271g,success
1041.0,DPA1a,ClC1=CC=CC=C1C2=C(C=CC=C3)C3=C(C4=CC=CC=C4)C5=C2C=CC=C5,"Asian J. Org. Chem. 2012, 1, 331–335",364.85,,,AIE,other,10.1002/ajoc.201200111,success
1043.0,DPA1b,BrC1=CC=CC=C1C2=C(C=CC=C3)C3=C(C4=CC=CC=C4)C5=C2C=CC=C5,"Asian J. Org. Chem. 2012, 1, 331–335",409.31,,,AIE,other,10.1002/ajoc.201200111,success
1044.0,DPA2,BrC1=CC2=C(C3=CC=CC=C3)C4=C(C(C5=CC=CC=C5)=C2C=C1)C=C(Br)C=C4,"Asian J. Org. Chem. 2012, 1, 331–335",488.2,,,AIE,other,10.1002/ajoc.201200111,success
1045.0,DPA3a,ClC1=CC=C(Br)C=C1C2=C(C=CC(Br)=C3)C3=C(C4=CC=CC=C4)C5=C2C=CC=C5,"Asian J. Org. Chem. 2012, 1, 331–335",522.65,,,AIE,other,10.1002/ajoc.201200111,success
1046.0,DPA3b,BrC1=CC=C(Br)C=C1C2=C(C=CC(Br)=C3)C3=C(C4=CC=CC=C4)C5=C2C=CC=C5,"Asian J. Org. Chem. 2012, 1, 331–335",567.11,,,AIE,other,10.1002/ajoc.201200111,success
1047.0,DPA3c,IC1=CC=C(Br)C=C1C2=C(C=CC(Br)=C3)C3=C(C4=CC=CC=C4)C5=C2C=CC=C5,"Asian J. Org. Chem. 2012, 1, 331–335",614.1,,,AIE,other,10.1002/ajoc.201200111,success
1048.0,TPPE,C(/C1=CC=C(C2=CC=C(/C(C3=CC=CC=C3)=C(C4=CC=CC=C4)/C5=CC=CC=C5)C=C2)C=C1)(C6=CC=C(C(C=C7)=CC=C7/C(C8=CC=CC=C8)=C(C9=CC=CC=C9)/C%10=CC=CC=C%10)C=C6)=C(C%11=CC=C(C(C=C%12)=CC=C%12/C(C%13=CC=CC=C%13)=C(C%14=CC=CC=C%14)\C%15=CC=CC=C%15)C=C%11)/C%16=CC=C(C(C=C%17)=CC=C%17/C(C%18=CC=CC=C%18)=C(C%19=CC=CC=C%19)\C%20=CC=CC=C%20)C=C%16,"Chem. Commun., 2013, 49, 594--596",1654.0,,,AIE,other,10.1039/c2cc37928g,success
1122.0,(Z)-o-BNTPE,c1(cccc2)c2ccc(c3ccccc3/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)/c6ccccc6c(cc7)cc8c7cccc8)c1,"Chem. Commun., 2014, 50, 1131--1133",584.0,,,AIE,other,10.1039/c3cc47696k,success
1125.0,BBPTPE,C(/C1=CC=CC=C1)(c2ccc(c3ccc(c4ccccc4)cc3)cc2)=C(c5ccc(c6ccc(c7ccccc7)cc6)cc5)\C8=CC=CC=C8,"Chem. Commun., 2014, 50, 1131--1133",636.0,,,AIE,other,10.1039/c3cc47696k,success
1624.0,Silole,C[Si]1(C)C(C2=CC=C(CN=[N+]=[N-])C=C2)=C(C3=CC=CC=C3)C(C4=CC=CC=C4)=C1C5=CC=C(CN=[N+]=[N-])C=C5,"Liu, J., et al. Chem. Sci., 2012,3, 2737-2747",524.7,,,AIE,neutral aromatic,10.1039/c2sc20382k,success
1625.0,TPE,O=C(C1=CC=CC=C1)C2=CC=C(/C(C3=CC=CC=C3)=C(C4=CC=C(OCCCS(=O)([O-])=O)C=C4)/C5=CC=C(OCCCN=[N+]=[N-])C=C5)C=C2,"Gao, X., et al. Chem. Commun., 2019,55, 8321-8324",672.78,,,AIE,neutral aromatic,10.1039/C9CC03923F,success
