id,code,SMILES,reference,molecular_weight,emission_solid,emission_aggr,features_id,mechanism_id,doi,aTB
1033.0,TTPEPy,C1(/C(C2=CC=CC=C2)=C(C3=CC=C(C4=C(C=CC5=C6C(C=C7)=C(C8=CC=C(/C(C9=CC=CC=C9)=C(C%10=CC=CC=C%10)/C%11=CC=CC=C%11)C=C8)C=C5C(C=C%12)=CC=C%12/C(C%13=CC=CC=C%13)=C(C%14=CC=CC=C%14)\C%15=CC=CC=C%15)C6=C7C(C%16=CC=C(/C(C%17=CC=CC=C%17)=C(C%18=CC=CC=C%18)/C%19=CC=CC=C%19)C=C%16)=C4)C=C3)/C%20=CC=CC=C%20)=CC=CC=C1,"Chem. Commun., 2010, 46, 2221–2223",1523.0,483.0,,AIE,ESIPT,10.1039/b921451h,failed
1081.0,2-BTDMS,C1=CC=CC=C1,"Chem. Eur. J. 2015, 21, 8137 – 8147",588.0,541.0,,AIE,other,10.1002/chem.201500002,failed
1097.0,TTPEBTTD,C1(C2=CC=C(/C(C3=CC=CC=C3)=C(C4=CC=CC=C4)\C5=CC=CC=C5)C=C2)=CC=C(C6=CC=C(C7=NSN=C67)C8=C(C9=CC=C(/C(C%10=CC=CC=C%10)=C(C%11=CC=CC=C%11)\C%12=CC=CC=C%12)C=C9)C=C(C%13=CC=C(/C(C%14=CC=CC=C%14)=C(C%15=CC=CC=C%15)/C%16=CC=CC=C%16)C=C%13)S8)S1,"J. Mater. Chem., 2012, 22, 11018–11021",1291.0,646.0,,AIE,other,10.1039/c2jm31482g,failed
1694.0,PPQE,O=C(C1=CC=CC=C1)/C=C2C(C3=CC=CC=C3)=NC4=C(C=CC=C4)N/2,,324.383,595.0,,AIE,ESIPT,10.1039/c7qm00435d,failed
1814.0,5CzBN-SPhCz,N#CC1=[C@@]([C@]([N@]2C3=C(C4=C2C=CC=C4)C=CC=C3)=[C@@]([C@@]([N@@]5C6=C(C7=C5C=CC=C7)C(OCCCCCCOC8=CC=C(C=C8)N9C%10=C(C%11=C9C=CC=C%11)C=CC=C%10)=CC=C6)=[C@]1[N@]%12C%13=C(C%14=C%12C=CC=C%14)C=CC=C%13)[N@@]%15C%16=C(C%17=C%15C=CC=C%17)C=CC=C%16)[N@@]%18C%19=C(C%20=C%18C=CC=C%20)C=CC=C%19,"Aggregate 2022, 3,e164",1286.55,503.0,,AIE,other,10.1002/agt2.164,failed
1817.0,5CzBN-TPhCz,N#CC1=[C@@]([N@@]2C(C=CC=C3OCCCCCCOC4=CC=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C=C4)=C3C8=C2C=CC=C8)[C@@]([N@@]9C(C=CC=C%10)=C%10C%11=C9C=CC=C%11)=C(N%12C%13=C(C(OCCCCCCOC%14=CC=C(N%15C(C=CC=C%16)=C%16C%17=C%15C=CC=C%17)C=C%14)=CC=C%13)C%18=C%12C=CC=C%18)[C@@]([N@@]%19C%20=C(C=CC=C%20)C%21=C%19C=CC=C%21)=[C@@]1[N@@]%22C%23=C(C(OCCCCCCOC%24=CC=C(N%25C(C=CC=C%26)=C%26C%27=C%25C=CC=C%27)C=C%24)=CC=C%23)C%28=C%22C=CC=C%28,"Aggregate 2022, 3,e164",2001.46,505.0,,AIE,other,10.1002/agt2.164,failed
1819.0,5CzBN-QPhCz,N#CC1=[C@@]([N@@]2C(C=CC=C3OCCCCCCOC4=CC=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C=C4)=C3C8=C2C=CC=C8)[C@@]([N@@]9C(C=CC=C%10)=C%10C%11=C9C=CC=C%11)=C(N%12C%13=C(C(OCCCCCCOC%14=CC=C(N%15C(C=CC=C%16)=C%16C%17=C%15C=CC=C%17)C=C%14)=CC=C%13)C%18=C%12C=CC=C%18)[C@@]([N@@]%19C%20=C(C(OCCCCCCOC%21=CC=C(N%22C(C=CC=C%23)=C%23C%24=C%22C=CC=C%24)C=C%21)=CC=C%20)C%25=C%19C=CC=C%25)=[C@@]1[N@@]%26C%27=C(C(OCCCCCCOC%28=CC=C(N%29C(C=CC=C%30)=C%30C%31=C%29C=CC=C%31)C=C%28)=CC=C%27)C%32=C%26C=CC=C%32,"Aggregate 2022, 3,e164",2358.91,506.0,,AIE,other,10.1002/agt2.164,failed
1826.0,2TPEA-AQ,O=C(C1=C2C=CC(N(C3=CC=C(C4=CC=C(/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)/C7=CC=CC=C7)C=C4)C=C3)C8=CC=CC=C8)=C1)C9=CC=C(C=C9C2=O)N(C%10=CC=CC=C%10)C%11=CC=C(C%12=CC=C(/C(C%13=CC=CC=C%13)=C(C%14=CC=CC=C%14)C%15=CC=CC=C%15)C=C%12)C=C%11,"Adv.Sci.2022,9,2104997",1203.48,630.0,,AIE,ESIPT,10.1002/advs.202104997,failed
1828.0,MeOTTVP,C[N+](C)(C)CCC[N+](C=C1)=CC=C1/C=C/C(S2)=CC=C2C(C=C3)=CC=C3N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5.[Br-].[Br-],"Adv.Funct.Mater. 2022, 32,2200503.",749.13,750.0,670.0,AIE,other,10.1002/adfm.202200503,failed
1854.0,TPECNP,COc6ccc(/C(=C(c1ccccc1)c4ccc(C(=O)c3cc[n+](Cc2ccc(B(O)O)cc2)cc3)cc4)c5ccc(OC)cc5)cc6.[Br-],"Adv.OpticalMater.2020,8,2001119",632.0,678.0,625.0,AIE,ESIPT,10.1002/adom.202001119,failed
