id,code,AggIndex,SMILES,reference,molecular_weight,emission_solid,emission_aggr,features_id,mechanism_id,doi
2414,ppCTPI,,N#CC(C=C1)=CC=C1N2C(C3=CC=C(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C6=CC=CC=C6)C=C3)=NC7=C8C(C=CC=C8)=C9C(C=CC=C9)=C72,"J.Mater.Chem.C,2019,7,6359-6368",649,501,475,AIE,other,10.1039/c9tc01453e
2415,TPESiPh3,,C1(/C(C2=CC=C([Si](C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5)C=C2)=C(C6=CC=CC=C6)/C7=CC=CC=C7)=CC=CC=C1,"PureAppl.Chem.,Vol.82,No.4,pp.863每870",590,,,AIE,other,10.1351/PAC-CON-09-09-15
2416,(TPE)2SiPh2,,C1(/C(C2=CC=C([Si](C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=C(/C(C6=CC=CC=C6)=C(C7=CC=CC=C7)C8=CC=CC=C8)C=C5)C=C2)=C(C9=CC=CC=C9)/C%10=CC=CC=C%10)=CC=CC=C1,"PureAppl.Chem.,Vol.82,No.4,pp.863每870",845,,,AIE,ESIPT,10.1351/PAC-CON-09-09-15
2417,(TPE)3SiPh,,C1(/C(C2=CC=C([Si](C3=CC=CC=C3)(C4=CC=C(/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)/C7=CC=CC=C7)C=C4)C8=CC=C(/C(C9=CC=CC=C9)=C(C%10=CC=CC=C%10)C%11=CC=CC=C%11)C=C8)C=C2)=C(C%12=CC=CC=C%12)/C%13=CC=CC=C%13)=CC=CC=C1,"PureAppl.Chem.,Vol.82,No.4,pp.863每870",1099,,,AIE,other,10.1351/PAC-CON-09-09-15
2418,mTPI,,C12=C(C=CC=C3)C3=C(N=C(C4=CC(/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)/C7=CC=CC=C7)=CC=C4)N8C9=CC=CC=C9)C8=C1C=CC=C2,"J.Mater.Chem.C,2019,7,6359-6368",624,491,465,AIE,other,10.1039/c9tc01453e
2419,"3,4-BTPEMTPS",,C[Si]1(C2=CC=CC=C2)C(C3=CC=CC=C3)=C(C4=CC=C(/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)/C7=CC=CC=C7)C=C4)C(C(C=C8)=CC=C8/C(C9=CC=CC=C9)=C(C%10=CC=CC=C%10)C%11=CC=CC=C%11)=C1C%12=CC=CC=C%12,"J.Phys.Chem.C2010,114,17,7963每7972",985,,532,AIE,other,10.1021/jp910728x
2420,TPE-TAC,,CC(C)(C)C1=CC2=C(C=C1)C(C3=CC=C(N4C(C=CC=C5)=C5C6=C4C=CC=C6)C=C3)=C7C(C=CC(C(C)(C)C)=C7)=C2C(C=C8)=CC=C8/C(C9=CC=CC=C9)=C(C%10=CC=CC=C%10)/C%11=CC=CC=C%11,"ACSAppl.Mater.Interfaces2019,11,19,17592每17601",862,453,445,AIE,other,10.1021/acsami.9b03177
2421,"2,5-BTPEMTPS",,C[Si]1(C2=CC=CC=C2)C(C3=CC=C(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C6=CC=CC=C6)C=C3)=C(C7=CC=CC=C7)C(C8=CC=CC=C8)=C1C(C=C9)=CC=C9/C(C%10=CC=CC=C%10)=C(C%11=CC=CC=C%11)C%12=CC=CC=C%12,"J.Phys.Chem.C2010,114,17,7963每7972",985,,495,AIE,other,10.1021/jp910728x
2422,mmCTPI,,N#CC1=CC=CC(N2C(C3=CC(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)/C6=CC=CC=C6)=CC=C3)=NC7=C8C(C=CC=C8)=C9C(C=CC=C9)=C72)=C1,"J.Mater.Chem.C,2019,7,6359-6368",649,493,464,AIE,other,10.1039/c9tc01453e
2423,TPE-TADC,,CC(C)(C)C1=CC2=C(C=C1)C(C3=CC(N4C(C=CC=C5)=C5C6=C4C=CC=C6)=CC(N7C(C=CC=C8)=C8C9=C7C=CC=C9)=C3)=C%10C(C=CC(C(C)(C)C)=C%10)=C2C(C=C%11)=CC=C%11/C(C%12=CC=CC=C%12)=C(C%13=CC=CC=C%13)/C%14=CC=CC=C%14,"ACSAppl.Mater.Interfaces2019,11,19,17592每17601",1027,455,450,AIE,other,10.1021/acsami.9b03177
2424,TPE-FB,,CC1(C)C2=CC(C(C=C3)=CC=C3/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)/C6=CC=CC=C6)=CC=C2C7=CC=C(B(C8=C(C)C=C(C)C=C8C)C9=C(C)C=C(C)C=C9C)C=C71,"NewJ.Chem.,2018,42,4089-4094",772,481,480,AIE,other,10.1039/c7nj04742h
2425,TPECa,,N1(C(C=CC=C2)=C2C3=C1C=CC=C3)C4=CC=C(C=C4)/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)/C7=CC=CC=C7,"J.Mater.Chem.,2012,22,4527",497,,,AIE,ESIPT,10.1039/c2jm14914a
2426,TPECaP,,C1(N2C3=CC=C(C4=CC=C(/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)C7=CC=CC=C7)C=C4)C=C3)=C(C8=C2C=CC=C8)C=CC=C1,"J.Mater.Chem.,2012,22,4527",573,,,AIE,other,10.1039/c2jm14914a
2427,BTPECaP,,C1(N2C3=CC=CC=C3)=C(C4=C2C=CC(C(C=C5)=CC=C5/C(C6=CC=CC=C6)=C(C7=CC=CC=C7)/C8=CC=CC=C8)=C4)C=C(C(C=C9)=CC=C9/C(C%10=CC=CC=C%10)=C(C%11=CC=CC=C%11)/C%12=CC=CC=C%12)C=C1,"J.Mater.Chem.,2012,22,4527",904,,,AIE,other,10.1039/c2jm14914a
2428,pmCTPI,,N#CC(C=C1)=CC=C1N2C(C3=CC(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)/C6=CC=CC=C6)=CC=C3)=NC7=C8C(C=CC=C8)=C9C(C=CC=C9)=C72,"J.Mater.Chem.C,2019,7,6359-6368",649,492,467,AIE,other,10.1039/c9tc01453e
2429,TTPECaP,,C1(N2C3=CC=C(C4=CC=C(/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)C7=CC=CC=C7)C=C4)C=C3)=C(C8=C2C=CC(C(C=C9)=CC=C9/C(C%10=CC=CC=C%10)=C(C%11=CC=CC=C%11)/C%12=CC=CC=C%12)=C8)C=C(C(C=C%13)=CC=C%13/C(C%14=CC=CC=C%14)=C(C%15=CC=CC=C%15)/C%16=CC=CC=C%16)C=C1,"J.Mater.Chem.,2012,22,4527",1234,,485,AIE,ESIPT,10.1039/c2jm14914a
2430,Dt-BPITBT-TPE,,CC(C)(C)C1=CC(N2C(C3=CC=C(C4=CC=C(C5=CC=C(/C(C6=CC=CC=C6)=C(C7=CC=CC=C7)/C8=CC=CC=C8)C=C5)C9=NSN=C49)S3)=NC%10=C2C(C=CC=C%11)=C%11C%12=C%10C=CC=C%12)=CC(C(C)(C)C)=C1,"J.Mater.Chem.C,2018,6,5900-5907",953,641,596,AIE,TICT,10.1039/c8tc01612g
2431,TPPyE,,C1(C=CC=C2C=C3)=C2C(C3=C(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C6=CC=CC=C6)C=C7)=C7C=C1,"J.Mater.Chem.,2011,21,7210",456,,,AIE,other,10.1039/c0jm04449k
2432,t-BPITBT-TPATPE,,CC(C)(C)C(C=C1)=CC=C1N2C(C3=CC=C(C4=CC=C(C5=CC=C(/C(C6=CC=CC=C6)=C(C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)/C%10=CC=C(N(C%11=CC=CC=C%11)C%12=CC=CC=C%12)C=C%10)C=C5)C%13=NSN=C4%13)S3)=NC%14=C2C(C=CC=C%15)=C%15C%16=C%14C=CC=C%16,"J.Mater.Chem.C,2018,6,5900-5907",1231,645,640,AIE,TICT,10.1039/c8tc01612g
2433,DPDPyE,,C12=C(C3=C(C=C2)C=C4)C(C=CC3=C4/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)/C7=CC=C8C=CC9=CC=CC%10=C9C8=C7C=C%10)=CC=C1,"J.Mater.Chem.,2011,21,7210",580,,500,AIE,other,10.1039/c0jm04449k
2434,TPEPy,,C1(/C(C2=CC=CC=C2)=C(C3=CC=C(C4=CC=C5C6=C4C=CC7=C6C(C=C5)=CC=C7)C=C3)C8=CC=CC=C8)=CC=CC=C1,"Chem.Sci.,2011,2,672",532,,490,AIE,other,10.1039/c0sc00521e
