id,code,AggIndex,SMILES,reference,molecular_weight,emission_solid,emission_aggr,features_id,mechanism_id,doi
2251,NpMPS,,C[Si]1(C(C2=CC3=C(C=C2)C=CC=C3)=C(C(C4=CC=CC=C4)=C1C5=CC6=C(C=C5)C=CC=C6)C7=CC=CC=C7)C8=CC=CC=C8,"Chem.Commun.,2014,50,4500-4503",576,515,515,AIE,other,10.1039/c4cc00653d
2253,AnDMS,,C[Si]1(C)C(C2=CC3=C(C=C(C=CC=C4)C4=C3)C=C2)=C(C5=CC=CC=C5)C(C6=CC=CC=C6)=C1C7=CC(C=C(C=CC=C8)C8=C9)=C9C=C7,"Chem.Commun.,2014,50,4500-4503",614,533,546,AIE,other,10.1039/c4cc00653d
2254,AnMPS,,C[Si]1(C2=CC=CC=C2)C(C3=CC4=C(C=C(C=CC=C5)C5=C4)C=C3)=C(C6=CC=CC=C6)C(C7=CC=CC=C7)=C1C8=CC(C=C(C=CC=C9)C9=C%10)=C%10C=C8,"Chem.Commun.,2014,50,4500-4503",676,559,558,AIE,other,10.1039/c4cc00653d
2255,TPE-TAPBI,,CC(C)(C)C1=CC=C(C(C2=CC=C(/C(C3=CC=CC=C3)=C(C4=CC=CC=C4)C5=CC=CC=C5)C=C2)=C(C=C(C(C)(C)C)C=C6)C6=C7C8=CC=C(C9=NC(C=CC=C%10)=C%10N9C%11=CC=CC=C%11)C=C8)C7=C1,"Adv.Funct.Mater.2018,28(40),1803369",889,459,452,AIE,ESIPT,10.1002/adfm.201803369
2256,TPE4Mes,,CCCCCC(CC1)CCC1C(C=C2)=CC=C2C#CC(C=C3)=CC=C3OCCCCCCCCCCCCOC(C=C4)=CC=C4/C(C5=CC=C(OCCCCCCCCCCCCOC6=CC=C(C#CC7=CC=C(C8CCC(CCCCC)CC8)C=C7)C=C6)C=C5)=C(C9=CC=C(OCCCCCCCCCCCCOC%10=CC=C(C#CC%11=CC=C(C%12CCC(CCCCC)CC%12)C=C%11)C=C%10)C=C9)C%13=CC=C(OCCCCCCCCCCCCOC%14=CC=C(C#CC%15=CC=C(C%16CCC(CCCCC)CC%16)C=C%15)C=C%14)C=C%13,"J.Mater.Chem.,2012,22,3323-3326",2447.7,,380,AIE,neutral aromatic,10.1039/c2jm15712h
2257,TriPE-TAPBI,,[H]/C(C(C=C1)=CC=C1C2=C(C=C(C(C)(C)C)C=C3)C3=C(C4=CC=C(C5=NC(C=CC=C6)=C6N5C7=CC=CC=C7)C=C4)C8=CC(C(C)(C)C)=CC=C82)=C(C9=CC=CC=C9)/C%10=CC=CC=C%10,"Adv.Funct.Mater.2018,28(40),1803369",813,460,460,AIE,ESIPT,10.1002/adfm.201803369
2259,FDMS,,C[Si]1(C)C(C2=CC=C(C(C=CC=C3)=C3C4)C4=C2)=C(C5=CC=CC=C5)C(C6=CC=CC=C6)=C1C7=CC(CC8=C9C=CC=C8)=C9C=C7,"Chem.AsianJ.2014,9,2937每2945",590,522,,AIE,ESIPT,10.1002/asia.201402468
2260,FMPS,,C[Si]1(C2=CC=CC=C2)C(C3=CC=C(C(C=CC=C4)=C4C5)C5=C3)=C(C6=CC=CC=C6)C(C7=CC=CC=C7)=C1C8=CC(CC9=C%10C=CC=C9)=C%10C=C8,"Chem.AsianJ.2014,9,2937每2945",652,535,,AIE,ESIPT,10.1002/asia.201402468
2261,FrDMS,,C[Si]1(C)C(C2=C3C(C4=CC=C3)=C(C5=C4C=CC=C5)C=C2)=C(C6=CC=CC=C6)C(C7=CC=CC=C7)=C1C8=C(C=CC=C9C%10=C%11C=CC=C%10)C9=C%11C=C8,"Chem.AsianJ.2014,9,2937每2945",662,531,,AIE,ESIPT,10.1002/asia.201402468
2262,FrMPS,,C[Si]1(C2=CC=CC=C2)C(C3=C4C(C5=CC=C4)=C(C6=C5C=CC=C6)C=C3)=C(C7=CC=CC=C7)C(C8=CC=CC=C8)=C1C9=C(C=CC=C%10C%11=C%12C=CC=C%11)C%10=C%12C=C9,"Chem.AsianJ.2014,9,2937每2945",724,527,,AIE,ESIPT,10.1002/asia.201402468
2263,NpDMS,,C[Si]1(C)C(C2=CC3=C(C=CC=C3)C=C2)=C(C4=CC=CC=C4)C(C5=CC=CC=C5)=C1C6=CC(C=CC=C7)=C7C=C6,"Chem.AsianJ.2014,9,2937每2945",514,500,,AIE,ESIPT,10.1002/asia.201402468
2264,NpMPS,,C[Si]1(C2=CC=CC=C2)C(C3=CC4=C(C=CC=C4)C=C3)=C(C5=CC=CC=C5)C(C6=CC=CC=C6)=C1C7=CC(C=CC=C8)=C8C=C7,"Chem.AsianJ.2014,9,2937每2945",576,515,,AIE,ESIPT,10.1002/asia.201402468
2265,PyDMS,,C[Si]1(C)C(C2=C3C(C(C(C=C3)=CC=C4)=C4C=C5)=C5C=C2)=C(C6=CC=CC=C6)C(C7=CC=CC=C7)=C1C8=C(C=CC9=C%10C(C=C%11)=CC=C9)C%10=C%11C=C8,"Chem.AsianJ.2014,9,2937每2945",662,526,,AIE,ESIPT,10.1002/asia.201402468
2266,PyMPS,,C[Si]1(C2=CC=CC=C2)C(C3=C4C(C(C(C=C4)=CC=C5)=C5C=C6)=C6C=C3)=C(C7=CC=CC=C7)C(C8=CC=CC=C8)=C1C9=C(C=CC%10=C%11C(C=C%12)=CC=C%10)C%11=C%12C=C9,"Chem.AsianJ.2014,9,2937每2945",724,532,550,AIE,ESIPT,10.1002/asia.201402468
2267,AnDMS,,C[Si]1(C)C(C2=CC3=C(C=C(C=CC=C4)C4=C3)C=C2)=C(C5=CC=CC=C5)C(C6=CC=CC=C6)=C1C7=CC(C=C(C=CC=C8)C8=C9)=C9C=C7,"Chem.AsianJ.2014,9,2937每2945",614,533,,AIE,ESIPT,10.1002/asia.201402468
2268,AnMPS,,C[Si]1(C2=CC=CC=C2)C(C3=CC4=C(C=C(C=CC=C5)C5=C4)C=C3)=C(C6=CC=CC=C6)C(C7=CC=CC=C7)=C1C8=CC(C=C(C=CC=C9)C9=C%10)=C%10C=C8,"Chem.AsianJ.2014,9,2937每2945",676,559,,AIE,ESIPT,10.1002/asia.201402468
